cep,quantidade,lat,lon,state,city,neighborhood,street,service
87770000,10.0,,,PR,São Carlos do Ivaí,,,open-cep
89294000,2.0,,,SC,Campo Alegre,,,open-cep
89300000,2.0,,,SC,Mafra,,,widenet
89306580,4.0,,,SC,Mafra,Faxinal,Rua Gustavo Adolfo Friedrich,open-cep
89309899,2.0,,,SC,Mafra,Área Rural de Mafra,Área Rural,open-cep
89480000,112.0,,,SC,Major Vieira,,,open-cep
89613000,3.0,,,SC,Erval Velho,,,open-cep
89770000,2.0,,,SC,Seara,,,open-cep
89891000,2.0,,,SC,Iraceminha,,,open-cep
89935000,14.0,,,SC,Princesa,,,open-cep
89980000,20.0,,,SC,Campo Erê,,,open-cep
95300000,40.0,,,RS,Lagoa Vermelha,,,open-cep
95880000,32.0,,,RS,Estrela,,,open-cep
96425500,2.0,,,RS,Bagé,Floresta,Rua Lourival Clave,open-cep
96445000,15.0,,,RS,Aceguá,,,open-cep
96506332,2.0,,,RS,Cachoeira do Sul,Santo Antônio,Rua Dom Pedro II,open-cep
96690000,6.0,,,RS,Pantano Grande,,,open-cep
97200000,16.0,,,RS,Restinga Seca,,,open-cep
97325000,120.0,,,RS,São Gabriel,Batovi,,open-cep
97541151,30.0,,,RS,Alegrete,Centro,Avenida Doutor Lauro Dorneles,open-cep
97760000,2.0,,,RS,Jaguari,,,open-cep
97880000,28.0,,,RS,São Nicolau,,,open-cep
98005110,6.0,,,RS,Cruz Alta,Centro,Rua Doutor Borges de Medeiros,open-cep
98010490,1.0,,,RS,Cruz Alta,Jung,Rua Valentin de Vit,open-cep
98040570,2.0,,,RS,Cruz Alta,Pedro Bonini,Rua São Jorge,open-cep
98150000,2.0,,,RS,Pinhal Grande,,,open-cep
99099899,26.0,,,RS,Passo Fundo,Área Rural de Passo Fundo,Área Rural,open-cep
99175000,2.0,,,RS,Nicolau Vergueiro,,,open-cep
99320000,2.0,,,RS,Ibirapuitã,,,open-cep
99350000,22.0,,,RS,Victor Graeff,,,open-cep
99470000,22.0,,,RS,Não-Me-Toque,,,open-cep
99500000,92.0,,,RS,Carazinho,,,open-cep
99530000,2.0,,,RS,Chapada,,,open-cep
99925000,2.0,,,RS,Ipiranga do Sul,,,open-cep
